state,dish_name,meal_type,description,preference,primary_nutrient,secondary_nutrient,tertiary_nutrient,quaternary_nutrient
Andhra Pradesh,Pappu Charu,lunch,Tangy lentil soup with tamarind,vegetarian,protein,fiber,vitamin_c,iron
Karnataka,Ragi Mudde with Sambar,dinner,Finger-millet balls with lentil-vegetable stew,vegetarian,calcium,fiber,protein,iron
Karnataka,Bisi Bele Bath,lunch,Rice and lentils cooked with vegetables and tamarind,vegetarian,protein,fiber,carbohydrates,iron
Karnataka,Neer Dosa,breakfast,Thin rice-flour crepe,vegetarian,carbohydrates,fiber,protein,calcium
Uttar Pradesh,Chana Masala,lunch,Spiced chickpeas in tomato gravy,vegan,protein,fiber,iron,folate
Uttar Pradesh,Galouti Kebab,dinner,Minced meat kebab with ground spices,non-vegetarian,protein,iron,zinc,vitamin_b12
Uttar Pradesh,Poha,breakfast,Flattened rice tempered with mustard seeds and peanuts,vegetarian,carbohydrates,fiber,healthy_fats,iron
Assam,Khar,lunch,Raw papaya cooked with alkaline filtrate and lentils,vegetarian,fiber,potassium,vitamin_c,protein
Assam,Masor Tenga,dinner,Sour fish curry with tomato and lemon,non-vegetarian,omega_3,protein,vitamin_c,vitamin_d
Assam,Pitha,snack,Rice-flour steamed cake with sesame or coconut filling,vegetarian,carbohydrates,healthy_fats,fiber,calcium
Bihar,Litti Chokha,dinner,"Roasted wheat balls stuffed with sattu, served with mashed vegetables",vegetarian,protein,fiber,iron,folate
Bihar,Sattu Paratha,breakfast,Flatbread stuffed with roasted gram flour,vegetarian,protein,fiber,iron,carbohydrates
Madhya Pradesh,Bhutte ka Kees,snack,Grated corn cooked with milk and spices,vegetarian,carbohydrates,fiber,calcium,vitamin_c
Madhya Pradesh,Dal Bafla,dinner,Baked wheat dumplings with lentil curry,vegetarian,protein,carbohydrates,fiber,iron
Goa,Fish Curry Rice,lunch,Coconut-based fish curry served with rice,non-vegetarian,omega_3,protein,vitamin_d,iodine
Goa,Sorpotel,dinner,Spiced pork offal curry with vinegar,non-vegetarian,protein,iron,zinc,vitamin_b12
Punjab,Palak Paneer,dinner,Spinach curry with cottage cheese cubes,vegetarian,calcium,iron,protein,vitamin_a
Kerala,Avial,lunch,Mixed vegetables in a coconut-yogurt sauce,vegetarian,fiber,vitamin_a,vitamin_c,potassium
Gujarat,Handvo,snack,Savory baked lentil-rice cake with vegetables,vegetarian,protein,fiber,iron,carbohydrates
Tamil Nadu,Rasam,lunch,Tangy tamarind and tomato soup with pepper,vegan,vitamin_c,fiber,potassium,protein
West Bengal,Mishti Doi,snack,Sweetened fermented yogurt,vegetarian,calcium,probiotics,protein,carbohydrates
Maharashtra,Sabudana Khichdi,breakfast,Tapioca pearls tempered with peanuts and potatoes,vegetarian,carbohydrates,healthy_fats,fiber,potassium
Rajasthan,Gatte ki Sabzi,lunch,Gram-flour dumplings in a spiced yogurt gravy,vegetarian,protein,calcium,fiber,iron
Karnataka,Akki Roti,breakfast,Rice-flour flatbread with vegetables,vegan,carbohydrates,fiber,vitamin_a,potassium
